park,team,source_year,spray_zone5,fence_distance_ft,fence_height_ft,distance_source_column,height_source_column,value_method,height_status,usable_for_hr_detector,source_name,source_url,notes
Kauffman Stadium,KC,2026,right_line,344.0,8.5,RF_Dim,RF_W,source_column,available,yes,MLB.com Royals fence-change announcement,https://www.mlb.com/news/royals-moving-outfield-walls-at-kauffman-stadium,2026 update. MLB.com says wall height is 8.5 ft in most places; segment heights approximated uniformly at 8.5.
loanDepot Park,MIA,2025,left_line,344.0,7.0,LF_Dim,LF_W,source_column,available,yes,Seamheads Ballparks Database,https://www.seamheads.com/ballparks/ballpark.php?parkID=MIA02,
loanDepot Park,MIA,2025,left_gap,393.0,14.0,LCF_Dim,LC_W,direct_or_fallback_source_column,available,yes,Seamheads Ballparks Database,https://www.seamheads.com/ballparks/ballpark.php?parkID=MIA02,
loanDepot Park,MIA,2025,center,407.0,20.0,CF_Dim,CF_W,source_column,available,yes,Seamheads Ballparks Database,https://www.seamheads.com/ballparks/ballpark.php?parkID=MIA02,
loanDepot Park,MIA,2025,right_gap,391.0,11.0,RCF_Dim,RC_W,direct_or_fallback_source_column,available,yes,Seamheads Ballparks Database,https://www.seamheads.com/ballparks/ballpark.php?parkID=MIA02,
loanDepot Park,MIA,2025,right_line,335.0,7.0,RF_Dim,RF_W,source_column,available,yes,Seamheads Ballparks Database,https://www.seamheads.com/ballparks/ballpark.php?parkID=MIA02,
Nationals Park,WSH,2025,left_line,336.0,8.0,LF_Dim,LF_W,source_column,available,yes,Seamheads Ballparks Database,https://www.seamheads.com/ballparks/ballpark.php?parkID=WAS11,
Nationals Park,WSH,2025,left_gap,377.0,8.0,LCF_Dim,LC_W,direct_or_fallback_source_column,available,yes,Seamheads Ballparks Database,https://www.seamheads.com/ballparks/ballpark.php?parkID=WAS11,
Nationals Park,WSH,2025,center,402.0,12.0,CF_Dim,CF_W,source_column,available,yes,Seamheads Ballparks Database,https://www.seamheads.com/ballparks/ballpark.php?parkID=WAS11,
Nationals Park,WSH,2025,right_gap,370.0,12.0,RCF_Dim,RC_W,direct_or_fallback_source_column,available,yes,Seamheads Ballparks Database,https://www.seamheads.com/ballparks/ballpark.php?parkID=WAS11,
Nationals Park,WSH,2025,right_line,335.0,12.0,RF_Dim,RF_W,source_column,available,yes,Seamheads Ballparks Database,https://www.seamheads.com/ballparks/ballpark.php?parkID=WAS11,
Oriole Park at Camden Yards,BAL,2025,left_line,333.0,8.0,LF_Dim,LF_W,source_column,available,yes,Seamheads Ballparks Database,https://www.seamheads.com/ballparks/ballpark.php?parkID=BAL12,
Oriole Park at Camden Yards,BAL,2025,left_gap,363.0,7.0,LCF_Dim,LC_W,direct_or_fallback_source_column,available,yes,Seamheads Ballparks Database,https://www.seamheads.com/ballparks/ballpark.php?parkID=BAL12,
Oriole Park at Camden Yards,BAL,2025,center,400.0,7.0,CF_Dim,CF_W,source_column,available,yes,Seamheads Ballparks Database,https://www.seamheads.com/ballparks/ballpark.php?parkID=BAL12,
